environment,archive_size,best_value,num_solutions
1,3,5.916695253623151e-09,3
2,3,1.3541851762146455e-08,3
3,0,,0
4,4,3.292736267902193e-09,4
5,4,4.366015171758266e-09,4
6,0,,0
7,3,7.476254874607991e-09,3
8,3,3.3355789192687575e-08,3
9,0,,0
10,3,1.1422049100808467e-08,3
11,3,5.998511745537067e-09,3
12,0,,0
13,3,1.1628105373029753e-08,3
14,2,1.9691729034778853e-08,2
15,0,,0
16,2,1.4082966657253065e-08,2
17,3,1.2370876787074442e-08,3
18,0,,0
19,3,1.7063236760672867e-08,3
20,3,2.4087178675220073e-08,3
21,0,,0
22,3,2.6380304561511544e-08,3
23,3,3.6418466071376494e-08,3
24,0,,0
25,3,2.1998809150615452e-09,3
26,4,8.790027736605603e-09,4
27,0,,0
28,3,1.049800009709425e-08,3
29,3,1.4532979280950747e-08,3
30,0,,0
31,3,1.74724324517482e-08,3
32,4,1.321208692867291e-08,4
33,0,,0
34,4,2.894998430867459e-09,4
35,4,1.0610937691265322e-08,4
36,0,,0
37,4,4.1096549646359444e-09,4
38,4,1.2172985569396408e-08,4
39,0,,0
40,4,4.400286310837249e-09,4
41,3,8.560355532846448e-09,3
42,0,,0
43,4,1.8394770246265578e-08,4
44,4,4.825287162481794e-09,4
45,0,,0
46,4,6.851140627254944e-09,4
47,4,1.0855988023408895e-08,4
48,0,,0
49,3,6.140903462488095e-09,3
50,4,7.4099184398603716e-09,4
51,0,,0
52,4,4.6142870115857535e-09,4
53,4,1.1877527583177063e-08,4
54,0,,0
55,4,8.45520555196894e-09,4
56,4,1.2479140918852883e-08,4
57,0,,0
58,4,2.2615889327421952e-08,4
59,4,6.49475510889321e-09,4
60,0,,0
